# Iterations  LogResRho  LogResRhoU  LogResRhoV  LogResRhoW  LogResRhoE  LogResTrb
1352 6.957228e-10 8.094680e-10 9.380036e-10 9.247856e-10 4.373983e-08 4.036135e-15
1353 7.020409e-10 8.117816e-10 9.428980e-10 9.207321e-10 4.414755e-08 4.076492e-15
1354 7.078797e-10 8.138925e-10 9.480699e-10 9.162257e-10 4.451405e-08 4.115006e-15
1355 7.130445e-10 8.163320e-10 9.540209e-10 9.119647e-10 4.485161e-08 4.152529e-15
1356 7.180966e-10 8.188239e-10 9.603629e-10 9.079795e-10 4.517022e-08 4.189122e-15
1357 7.231021e-10 8.214467e-10 9.670449e-10 9.054439e-10 4.550282e-08 4.224566e-15
1358 7.277138e-10 8.243613e-10 9.739953e-10 9.048974e-10 4.579870e-08 4.259824e-15
1359 7.320839e-10 8.269034e-10 9.810704e-10 9.050191e-10 4.608375e-08 4.295800e-15
1360 7.363698e-10 8.297211e-10 9.887340e-10 9.058091e-10 4.635996e-08 4.329828e-15
1361 7.408219e-10 8.329384e-10 9.956169e-10 9.059373e-10 4.664086e-08 4.363508e-15
1362 7.447410e-10 8.366127e-10 1.001714e-09 9.062173e-10 4.688565e-08 4.397351e-15
1363 7.479668e-10 8.404193e-10 1.007213e-09 9.058725e-10 4.709799e-08 4.431941e-15
1364 7.506053e-10 8.438304e-10 1.012353e-09 9.054725e-10 4.726313e-08 4.465454e-15
1365 7.528500e-10 8.472252e-10 1.016990e-09 9.046018e-10 4.739554e-08 4.498971e-15
1366 7.547863e-10 8.500017e-10 1.020646e-09 9.035526e-10 4.750793e-08 4.532924e-15
1367 7.562751e-10 8.524380e-10 1.024286e-09 9.030823e-10 4.759175e-08 4.566602e-15
1368 7.573411e-10 8.540887e-10 1.029116e-09 9.026880e-10 4.766044e-08 4.600672e-15
1369 7.587043e-10 8.553148e-10 1.035772e-09 9.030531e-10 4.774936e-08 4.634686e-15
1370 7.602661e-10 8.560017e-10 1.044884e-09 9.065874e-10 4.785522e-08 4.670246e-15
1371 7.624975e-10 8.561285e-10 1.056247e-09 9.129773e-10 4.801288e-08 4.706955e-15
1372 7.657906e-10 8.562662e-10 1.070370e-09 9.210658e-10 4.821781e-08 4.745977e-15
1373 7.694135e-10 8.564222e-10 1.085503e-09 9.307784e-10 4.845536e-08 4.786440e-15
1374 7.726121e-10 8.571082e-10 1.101505e-09 9.408023e-10 4.866250e-08 4.826941e-15
1375 7.757438e-10 8.578513e-10 1.116477e-09 9.508615e-10 4.888209e-08 4.867332e-15
1376 7.798865e-10 8.576925e-10 1.129847e-09 9.607583e-10 4.914215e-08 4.906227e-15
1377 7.850024e-10 8.571532e-10 1.140501e-09 9.707294e-10 4.947363e-08 4.943855e-15
1378 7.902935e-10 8.556537e-10 1.148929e-09 9.807103e-10 4.981353e-08 4.979551e-15
