# Iterations  CD  CDp  CDf  CL  CLp  CL  Pitch 
924 5.532508e-02 4.568374e-02 9.641332e-03 3.184327e-01 3.186718e-01 -2.391349e-04 -2.501011e-02
925 5.432130e-02 4.468023e-02 9.641073e-03 3.162954e-01 3.165348e-01 -2.393751e-04 -2.464918e-02
926 5.329157e-02 4.365075e-02 9.640818e-03 3.141046e-01 3.143442e-01 -2.395861e-04 -2.425976e-02
927 5.223622e-02 4.259565e-02 9.640568e-03 3.118635e-01 3.121032e-01 -2.397700e-04 -2.384138e-02
928 5.115567e-02 4.151535e-02 9.640322e-03 3.095738e-01 3.098137e-01 -2.399319e-04 -2.339300e-02
929 5.005020e-02 4.041012e-02 9.640083e-03 3.072364e-01 3.074765e-01 -2.400725e-04 -2.291383e-02
930 4.892031e-02 3.928046e-02 9.639849e-03 3.048517e-01 3.050919e-01 -2.401973e-04 -2.240252e-02
931 4.776658e-02 3.812695e-02 9.639621e-03 3.024200e-01 3.026603e-01 -2.403093e-04 -2.185828e-02
932 4.658983e-02 3.695043e-02 9.639401e-03 2.999418e-01 3.001823e-01 -2.404123e-04 -2.128023e-02
933 4.539145e-02 3.575226e-02 9.639189e-03 2.974178e-01 2.976583e-01 -2.405093e-04 -2.066815e-02
934 4.417247e-02 3.453349e-02 9.638986e-03 2.948477e-01 2.950883e-01 -2.406001e-04 -2.002156e-02
935 4.293463e-02 3.329583e-02 9.638793e-03 2.922321e-01 2.924727e-01 -2.406880e-04 -1.934042e-02
936 4.167938e-02 3.204077e-02 9.638612e-03 2.895707e-01 2.898115e-01 -2.407721e-04 -1.862470e-02
937 4.040853e-02 3.077008e-02 9.638443e-03 2.868626e-01 2.871035e-01 -2.408542e-04 -1.787442e-02
938 3.912388e-02 2.948560e-02 9.638285e-03 2.841076e-01 2.843485e-01 -2.409351e-04 -1.709035e-02
939 3.782709e-02 2.818895e-02 9.638139e-03 2.813037e-01 2.815447e-01 -2.410157e-04 -1.627250e-02
940 3.652003e-02 2.688203e-02 9.638006e-03 2.784516e-01 2.786927e-01 -2.410931e-04 -1.542210e-02
941 3.520472e-02 2.556683e-02 9.637885e-03 2.755518e-01 2.757929e-01 -2.411633e-04 -1.454059e-02
942 3.388317e-02 2.424539e-02 9.637778e-03 2.726049e-01 2.728462e-01 -2.412242e-04 -1.362961e-02
943 3.255753e-02 2.291985e-02 9.637684e-03 2.696127e-01 2.698540e-01 -2.412723e-04 -1.269127e-02
944 3.122979e-02 2.159219e-02 9.637602e-03 2.665771e-01 2.668184e-01 -2.413053e-04 -1.172775e-02
945 2.990229e-02 2.026476e-02 9.637532e-03 2.635018e-01 2.637431e-01 -2.413242e-04 -1.074201e-02
946 2.857654e-02 1.893907e-02 9.637473e-03 2.603860e-01 2.606274e-01 -2.413323e-04 -9.735116e-03
947 2.725465e-02 1.761723e-02 9.637425e-03 2.572320e-01 2.574733e-01 -2.413271e-04 -8.709546e-03
948 2.593901e-02 1.630162e-02 9.637388e-03 2.540431e-01 2.542844e-01 -2.413129e-04 -7.668527e-03
949 2.463117e-02 1.499381e-02 9.637362e-03 2.508179e-01 2.510592e-01 -2.412904e-04 -6.613209e-03
950 2.333270e-02 1.369536e-02 9.637345e-03 2.475558e-01 2.477971e-01 -2.412603e-04 -5.544914e-03
951 2.204590e-02 1.240857e-02 9.637339e-03 2.442593e-01 2.445005e-01 -2.412234e-04 -4.466425e-03
952 2.077240e-02 1.113506e-02 9.637342e-03 2.409273e-01 2.411685e-01 -2.411806e-04 -3.378658e-03
953 1.951417e-02 9.876812e-03 9.637354e-03 2.375609e-01 2.378020e-01 -2.411345e-04 -2.283472e-03
954 1.827309e-02 8.635712e-03 9.637375e-03 2.341605e-01 2.344016e-01 -2.410843e-04 -1.182308e-03
955 1.705073e-02 7.413330e-03 9.637404e-03 2.307258e-01 2.309668e-01 -2.410280e-04 -7.556173e-05
956 1.584888e-02 6.211442e-03 9.637442e-03 2.272580e-01 2.274990e-01 -2.409635e-04 1.036093e-03
957 1.466952e-02 5.032035e-03 9.637487e-03 2.237594e-01 2.240003e-01 -2.408877e-04 2.151806e-03
958 1.351433e-02 3.876794e-03 9.637540e-03 2.202313e-01 2.204721e-01 -2.408003e-04 3.271684e-03
959 1.238524e-02 2.747636e-03 9.637600e-03 2.166763e-01 2.169170e-01 -2.406996e-04 4.395395e-03
960 1.128363e-02 1.645963e-03 9.637666e-03 2.130961e-01 2.133366e-01 -2.405851e-04 5.523858e-03
